Product Title,Image URL,Category,Collection,Price PKR
White Floral 6 person Dessert Set/Soup Set,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_ac0f97f9-c35d-4721-87fa-c5b1b98f3224-removebg-preview.png?v=1771904356,Dinner Sets,Other Collections,75.00
Floral White Dessert Serving Set(Square+bowl)|Blue Pottery,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_7fdd21b8-144b-4c51-b251-66f55f1a3857-removebg-preview.png?v=1771904355,Dinner Sets,Blue Pattern,84.00
7 Piece White Floral Dessert Serving Set (Round)|Blue Pottery,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/Photoroom-20240610-065818-removebg-preview.png?v=1771904351,Dinner Sets,Blue Pattern,44.68
7 Piece White Floral Dessert Serving Set|Blue Pottery,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/Photoroom-20240610-065127-removebg-preview.png?v=1771904348,Dinner Sets,Blue Pattern,40.21
5 Piece Floral White BBQ Serving Set|Blue Pottery,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_c796be56-4d86-4a0c-8d96-911e278f25e4-removebg-preview.png?v=1771904343,Dinner Sets,Blue Pattern,67.02
6 Piece Iconic Blue Serving Set|Blue pottery,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_11dba796-8315-41ac-90e6-98ef2a192d7c-removebg-preview.png?v=1771904334,Dinner Sets,Blue Pattern,100.53
Iconic Blue Water set for 6 person,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/IMAGE-EDIT_181a8b13-7378-4b64-8d01-4eb856b85542-removebg-preview.png?v=1771904326,Dinner Sets,Blue Pattern,82.00
Iconic Blue 6 person Dessert Set(Round),https://cdn.shopify.com/s/files/1/0864/7006/6210/files/rn-image_picker_lib_temp_822e0927-0a6a-4e46-85a5-b67da164aaf2-removebg-preview.png?v=1771904324,Dinner Sets,Blue Pattern,70.00
Bundle Deal 2-Light Serina Blue,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/98E961BE-CFB1-4E6B-A541-2F9D485AAFB4.jpg?v=1771904319,Dinner Sets,Blue Pattern,130.00
Blue Pottery Jug with Glasses,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/jug-set.jpg?v=1771904132,Dinner Sets,Blue Pattern,80.00
Ceramic Dinner Set 6 Persons,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/Blue-Pottery-Ceramic-Dinner-Set-6-Persons.jpg?v=1771904118,Dinner Sets,Other Collections,45.00
Ocean Night Small Square Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/EE716F4D-5A10-4620-AB49-2D7BE2815DEE.jpg?v=1771903981,Dinner Sets,Other Collections,48.00
Blue Pattern Large Square Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/987276C9-CD89-406B-A775-371A0EBBDCB6.jpg?v=1771904444,Plates & Platters,Blue Pattern,30.00
Blue Pattern Medium Serving Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/B62449F4-499D-4D48-8980-E399C85945C7.jpg?v=1771904441,Plates & Platters,Blue Pattern,48.00
Blue Pattern Large Serving Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/867AC1C3-C793-44BE-93A4-605F4EF0436F.jpg?v=1771904440,Plates & Platters,Blue Pattern,50.00
Blue Pattern Quarter Plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/54579BB5-810D-4A3A-B500-518E7B9BB84D.jpg?v=1771904439,Plates & Platters,Blue Pattern,28.00
Blue Pattern Dinner plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/D061405E-4E93-44C8-BD1D-643B3C4625B7.jpg?v=1771904438,Plates & Platters,Blue Pattern,30.00
Antique Dark Blue Platter - Large,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/883230B1-B945-4132-AC41-A71E35B934AC.jpg?v=1771904433,Plates & Platters,Blue Pattern,56.00
Multi Flower Quarter Plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/198C05C2-454F-4461-9E5C-D0AA10684FDC.jpg?v=1771904432,Plates & Platters,Other Collections,28.00
Blue Flower Flat Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/IMG_5844.jpg?v=1771904429,Plates & Platters,Blue Pattern,10.70
Blue Flower Quarter Plate,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/88FF5E68-EDF8-47BD-B659-720EDEE30F10_08507943-725a-4f33-b52d-e1941e732ac7.jpg?v=1771904428,Plates & Platters,Blue Pattern,30.00
Blue Heart Small Serving Dish,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/F3D278C2-69CF-420E-90F8-7995F1B824E9.webp?v=1771904425,Plates & Platters,Blue Pattern,44.00
