Title,Handle,Price,Original_Price,Category,Image_URL
Blue Pattern Flat Dish,blue-pattern-flat-dish,30.00,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Dinnerware Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/F563FCE0-8A13-4D5A-84D1-1358EC161860.jpg?v=17...
New Blue Celico Large Rectangle Serving Dish,new-blue-celico-large-rectangle-serving-dish,65.00,,Home & Garden > Kitchen & Dining > Tableware > Serveware > Serving Platters,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/5A702C9F-CCEB-428A-9518-71281931F12E.jpg?v=17...
Decorative Plate (Iznik Art with Floral Design),decorative-plate-iznik-art-with-floral-design,32.00,,Home & Garden > Decor > Decorative Plates,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/64-removebg-preview_e7581c3a-a95c-4941-b5ac-b...
Decorative Plate (Iznik Art with Flower Design),decorative-plate-iznik-art-with-flower-design,32.00,,Home & Garden > Decor > Decorative Plates,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/63-removebg-preview_a4f50dfc-e4fd-468a-8b27-8...
ecorate Plate (Iznik Art),ecorate-plate-iznik-art,29.00,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Plates,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/62-removebg-preview_9b41e1c5-6129-4fa2-b30c-5...
Decorative Plate (Iznik Art in Blue),decorative-plate-iznik-art-in-blue,25.00,,Home & Garden > Decor > Decorative Plates,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/61-removebg-preview_402eca72-f49a-49f8-b60e-b...
Ceramics Traditional Dinner Set (BC-1),ceramics-traditional-dinner-set-bc-1,45.00,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Dinnerware Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/set_3_copy-removebg-preview.png?v=1771904416
Ceramics Dinner Set (MC-1),ceramics-dinner-set-mc-1,425.00,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Dinnerware Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/set_2_copy-removebg-preview.png?v=1771904414
Ceramics Dinner Set (BC-II),ceramics-dinner-set-bc-ii,460.00,,Home & Garden > Kitchen & Dining > Tableware > Dinnerware > Dinnerware Sets,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/Set_1-removebg-preview.png?v=1771904413
Ceramic Floral Large Planter (M-C),ceramic-floral-large-planter-m-c,75.00,,Home & Garden > Lawn & Garden > Gardening > Pots & Planters > Planters,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/110-removebg-preview.png?v=1771904412
Ceramic Floral Planter (MC-L),ceramic-floral-planter-mc-l,50.00,,Home & Garden > Lawn & Garden > Gardening > Pots & Planters > Planters,https://cdn.shopify.com/s/files/1/0864/7006/6210/files/180-removebg-preview.png?v=1771904411
